"101";"1";"Zeměděl. a les. fytopatologie a zeměděl. chemie";"";"XSPECAF"
"102";"1";"Obecná a speciální zootechnika";"";"XZOO"
"125";"1";"Anatomie a fyziologie rostlin";"";"XAFRO"
"126";"1";"Dendrologie a šlechtění lesních dřevin";"";"XDSLD"
"127";"1";"Obecná a speciální produkce rostlinná";"";"XFYTO"
"128";"1";"Hospodářská úprava lesa";"";"XHUPLE"
"130";"1";"Myslivost";"";"XMYSL"
"131";"1";"Ochrana lesa";"";"XOCHLE"
"132";"1";"Ochrana lesů a myslivost";"";"XOCHMY"
"133";"1";"Pěstování lesa";"";"XPESLE"
"134";"1";"Rostlinná produkce";"";"XRP"
"135";"1";"Technika a mechanizace v lesním hospodářství";"";"XTMELH"
"136";"1";"Technika a mechanizace zemědělství";"";"XTMZ"
"137";"1";"Technika výrobních procesů";"";"XTVP"
"138";"1";"Vlastnosti a zpracování zem. materiálů a produktů";"";"XVZZMP"
"110";"2";"Tropické a subtropické zemědělství ITSZ";"";"XZTS"
"21";"3";"Aplikovaná a krajinná ekologie";"";"XAKREK"
"58";"3";"Anatomie a fyziologie rostlin";"";"XAFRO"
"59";"3";"Dendrologie a šlechtění lesních dřevin";"";"XDSLD"
"60";"3";"Ekologie";"";"XEKOLO"
"61";"3";"Hospodářská úprava lesa";"";"XHUPLE"
"62";"3";"Ochrana lesa";"";"XOCHLE"
"63";"3";"Ochrana půdy a meliorace";"";"XOPMEL"
"64";"3";"Pěstování lesa";"";"XPESLE"
"65";"3";"Řízení a ekonomika podniků - LF";"";"XREPOD"
"66";"3";"Technika a mechanizace v lesním hospodářství";"";"XTMELH"
"67";"3";"Zemědělská a lesnická hydrologie";"";"XZLHYD"
"11";"4";"Informační management";"";"XINM"
"12";"4";"Management (doktorandské)";"";"XMNG"
"13";"4";"Podniková a odvětvová ekonomika (doktorandské)";"";"XPOE"
"14";"4";"Řízení a ekonomika podniků - PEF (doktorandské)";"";"XREP"
"15";"4";"Regionální a sociální rozvoj (doktorandské)";"";"XRSR"
"16";"4";"Systémové inženýrství (doktorandské)";"";"XSYI"
"17";"4";"Zpracování dat a matematické modelování (doktorandské)";"";"XZDM"
"55";"4";"Marketing strojů a technických systémů";"";"XMSTS"
"23";"5";"Technika výrobních procesů";"";"XTVP"
"50";"5";"Jakost a spolehlivost strojů a zařízení";"";"XJSSZ"
"129";"5";"Marketing strojů a technických systémů";"";"XMSTS"
"105";"5";"Automatizace a robotizace";"";"XAAR"
"106";"5";"Energetika";"";"XENER"
"107";"5";"Technika a mechanizace zemědělství";"";"XTMZ"
"108";"5";"Vlastnosti a zpracování zem. materiálů a produktů";"";"XVZZMP"
