"47";"ČVUT";"Umělá inteligence"
"66";"CVUT";"Umělá inteligence"
"81";"UK Praha";"Školský management"
"83";"UK Praha";"Školský management"
"85";"FEL ČVUT";"Distribuované systémy (P36DSY)"
"86";"VSE";"IT904, Strategické řízení informačních systémů"
"87";"ČVUT";"Objektově orientované modelování"
"88";"CVUT";"Objektové programování - .NET"
"89";"VŠE";"Finanční trhy a instituce"
"90";"CVUT";"test"
"91";"cvut";"Language for artificial intelligence"
"92";"cvut";"language for artificial intelligence"
"93";"cvut";"Languages for Artificial Intelligence"
"94";"cvut";"languages for Artificial Intelligence"
"96";"ČVUT";"101OBJ - Objektové programování - .NET"
"97";"VŠE";"Architektury informačních systémů"
"98";"CZU";"Evropská integrace"
"100";"VŠE";"Metody získávání znalostí"
"101";"CVUT";"Programovani pro .NET"
"102";"Czu Praha";"Komunikace v rízení"
"103";"Czu Praha";"Personální rízení"
"104";"Czu Prah";"Psychologie rízení"
"105";"ČVUT FEL";"P36DSY"
"106";"VŠE Praha";"Principy regionální správy"
"42";"VŠE";"Ekonomika"
"43";"VŠE";"Ekonomika"
"44";"VSE";"Ekonomika"
"45";"ČVUT";"Umělá inteligence"
"46";"VŠE";"Metody získávání znalostí"
"48";"VŠE";"Metody získávání znalostí"
"49";"VŠE";"Mezinárodní účetnictví"
"50";"VŠE";"Oceňování majetku a podniku"
"51";"VŠE";"Mezinárodní účetnictví"
"52";"VŠE";"Oceňování majetku a podniku"
"53";"VSE";"Ekonomika"
"54";"VSE";"Ekonomika"
"55";"VSE";"Ekonomika"
"56";"CVUT";"Informatika"
"57";"VSE";"Ekonomika"
"58";"CVUT";"Informatika"
"59";"VŠE";"Mezinárodní účetnictví"
"60";"VŠE";"Oceňování majetku a podniku"
"61";"ČVUT";"Umělá inteligence"
"62";"VŠE";"Metody získávání znalostí"
"63";"VŠE";"Měnová politika"
"64";"čvut fel";"polák - objektové programování"
"65";"vše";"drbal - objektová analýza a návrh"
"95";"ČVUT";"Objektové programování - .NET"
"107";"ČZU";"Kalkulace nákladů a cen"
"108";"VŠE";"Manažerské účetnictví"
"109";"ČZU-KPr";"Mezinárodní právo a právo EU"
"110";"ČZU-KŘ";"Strategický management"
"67";"VSE";"Metody získávání znalostí"
"68";"VSE";"Ekonomika"
"69";"ČZU";"Měkké systémy, metodologie a aplikace"
"70";"fel čvut";"Molhanec - Software v průmyslovém inženýrství"
"71";"vše";"drbal - objektová analýza a návrh"
"72";"VŠE";"Metody získávání znalostí (IZI904)"
"73";"ČVUT FSV";"128 AVK Architektury výpočetních a komunikačních systémů"
"74";"VŠE";"IT 903 Komunikační a distribuované informační systémy"
"75";"FHS UK";"Sociální ekologie"
"76";"FHS UK";"Globální problémy životního prostředí"
"77";"1LFUK";"Modelování a simulace biomedicínských systémů"
"78";"VSE";"Ekonomika"
"79";"FEL";"Počítače"
"80";"VŠE";"Neurčitost v umělé inteligenci   "
"82";"UK Praha";"Školský management"
"84";"UK Praha";"Školský management"
"99";"CZU";"Evropská integrace"
"111";"UK MFF";"Kombinatorická a výpočetní geometrie"
"112";"UK MFF";"Kombinatorika a grafy"
"113";"UK MFF";"Úvod do matematického programování a polyedrální kombinatoriky"
