"8126";"DABX02Y";"Fyziologie rostlin pro doktorandy";"Plant Physiology for Ph.D. studies";"26";"1913"
"8823";"DACA05Y";"Speciální analytická chemie";"Special Analytical Chemistry";"39";"1938"
"8901";"DAGA07Y";"Molekularní genetika speciální";"Special Moleculary Genetics";"42";"1988"
"8952";"DAVA01Y";"Anatomie a fyziologie ptáků";"Avian Anatomy and Physiology";"34";"2078"
"10748";"DAOA18Y";"Diagnostické metody v ochraně rostlin";"Diagnostic Methods in Plant Protection";"30";"2021"
"10751";"DAOA19Y";"Rezistence rostlin k patogenům a škůdcům";"Resistance of Plants to Pests and Pathogens";"30";"2021"
"10795";"DAVX07Y";"Fyziologie buňky";"Cell Physiology";"34";"2089"
"10801";"DAVX08Y";"Reprodukční biotechnologie hospodářských zvířat";"Reproductive biotechnology of farm animals";"34";"2086"
"10804";"DAVX09Y";"Etické aspekty biotechnologií hospodářských zvířat";"Ethical implication of farm animal biotechnology";"34";"2086"
"10821";"DAEA04Y";"Helmintologie";"Helminthology";"36";"2122"
