"1";"Ing."
"2";"Dr. Ing."
"3";"Doc."
"4";"Doc. RNDr."
"5";"RNDr."
"6";"Doc. Ing."
"7";"Prof. Ing."
"8";"Mgr."
"9";"PhDr."
"10";"PhDr. Mgr."
"11";"JUDr."
"12";"JUDr. Ing."
"13";"Prof. RNDr."
"14";"PaedDr."
"15";"Prof. MVDr."
"16";"Mag."
"18";"Doc. Ing. Mgr."
"20";"Prof. JUDr."
"24";"Prof. Dr."
"17";"Dr."
"19";"Ing. arch."
"21";"Doc. PhDr."
"23";"Doc. Ing. PhDr."
"26";"Doc. JUDr. PhDr."
"29";"PaedDr. Ing."
"28";"Bc."
"30";"Prof.PhDr.Ing."
"32";"Doc. Mgr."
"33";"PhDr. RNDr."
"34";"B.A."
"35";"M.A."
"36";"Dr.."
"37";"Dott."
"38";"Mag.Phil."
"39";"Prof. MVDr. Ing."
"40";"MVDr."
"41";"Doc. MVDr."
"42";"Doc. Dr. Ing."
"43";"Mgr.Ing."
"44";"MUDr."
"45";"Ing. RNDr."
"31";"PhDr. Ing."
